Enabled;Name;Short desc.;Categories;Price;Images URL
1;Kurs Statystyka;"
	Kurs Statystyka jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 7 Lekcji.
Zawiera łącznie 10 godzin nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 70 pytań testowych sprawdzających wiedzę i 110 przykładów do zadań domowych.
";3,4;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-statystyka-scaled.jpg
1;Kurs Ekonometria;"
	Kurs Ekonometria jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 8 Lekcji.
Autorką Kursu jest Joanna Grochowska.
Zawiera prawie 17 godzin nagrań video, na których pani Asia powoli i od podstaw tłumaczy i pokazuje jak rozwiązywać zadania, a także 80 pytań testowych sprawdzających wiedzę i 228 przykładów do zadań domowych.
";3,4;39,00 PLN;https://etrapez.pl/wp-content/uploads/2017/09/studia-ekonometria.jpg
1;Kurs Macierze;"
	Kurs Macierzy jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 7 Lekcji.
Zawiera łącznie 260 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 70 pytań testowych sprawdzających wiedzę i około 100 przykładów do zadań domowych.
";3,5;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/3.png
1;Kurs Równania Różniczkowe;"
	Kurs Równań Różniczkowych jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 7 Lekcji. Zawiera łącznie 9 godzin nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 67 pytań testowych sprawdzających wiedzę i kilkaset przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-rownania-rozniczokowe.jpg
1;Kurs Logika;"
	Kurs Logika jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 8 Lekcji.
Zawiera prawie 10,5 godziny nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 70 pytań testowych sprawdzających wiedzę i 207 przykładów do zadań domowych.
";3,7;39,00 PLN;https://etrapez.pl/wp-content/uploads/2017/01/studia-logika.jpg
1;Kurs Pochodne i Badanie Przebiegu Zmienności Funkcji;"
	Kurs Pochodne i Badanie Przebiegu Zmienności Funkcji jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 9 Lekcji.
Zawiera łącznie 600 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 90 pytań testowych sprawdzających wiedzę i około 140 przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-pochodne-i-badanie-przebiegu-zmiennosci-funkcji.jpg
1;Kurs Relacje i Funkcje;"
	Kurs Relacje i Funkcje jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 10 Lekcji.
Zawiera prawie 11 godzin nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 95 pytań testowych sprawdzających wiedzę i 180 przykładów do zadań domowych.
";3,7;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/08/studia-relacje-funkcje.jpg
1;Kurs Prawdopodobieństwo;"
	Kurs Prawdopodobieństwo jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 7 Lekcji.
Zawiera łącznie 13 godzin nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 70 pytań testowych sprawdzających wiedzę i 150 przykładów do zadań domowych.
";3,4;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/5.png
1;Kurs Granice;"
	Kurs Granic jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 8 Lekcji.
Zawiera łącznie 350 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 80 pytań testowych sprawdzających wiedzę i około 120 przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/1.png
1;Kurs Matura Podstawowa Część 2;"
	Kurs Matura Podstawowa Część 2 jest multimedialnym kursem edukacyjnym dla maturzystów, podzielonym tematycznie na 5 Lekcji.
Autorką Kursu jest Anna Zalewska.
Zawiera ponad 20 godzin nagrań video, na których pani Ania powoli i od podstaw tłumaczy i pokazuje jak rozwiązywać zadania, a także 100 pytań testowych sprawdzających wiedzę i 100 zadań otwartych.
W Kursie przerabiane są testy i zadania maturalne na poziomie podstawowym.
";8,9;39,00 PLN;https://etrapez.pl/wp-content/uploads/2018/03/szkola-srednia-matura-podstawowa-czesc-2.jpg
